item_description,item_id,restaurant_id,restaurant,classification,unit_price,address_city
1/2 arroz chehie,008a3889c5919f213b35d4a41314ea3a0675ad368d9654ab0428994aad3c7ca7,f6a8519c4e0594323a891ed61094abc8be4a8b58e076033e531a3d541ed19d6a,Saj - Jardins,Acompanhamentos,18,SAO PAULO
Refrigerante 2 litros,008a55472d0d8b76852345f07ec26d4de78dd7ceafa3cd2ccc79bb8216803ee8,d61fe7ddfb17a37871555671c36dfc2f1bf82d8573b4588b20d38bbede2b4650,Bar Restaurante  Regina,Bebidas,9,PORTO ALEGRE
PIZZA CONE,008a69e7e84fab89007f1062d5285ee7299c5e0b0412a32982ba29b203a7f2d4,638617ccd5c8036b3374fddc2a3fdc71f3aa08562987bea92394822dc20d94aa,Elohim Pizzas,PROMOÇÕES,8,RECIFE
Tapioca de frango desfiado com mussarela,008a7db66b043d21fea11afbb77ab94b8c8c69b44e19a78076109410d8d735ce,a31e6e5e99a3d780d9d436a66ff6d7626ba023fd5bfc5987901bf947d157d229,Açai Bar Bq,Tapiocas salgadas,17.6,SAO PAULO
File de Frango à Milanesa (Combo),008a990766d94b392897882cea65f817db0c1059ec223c533a0b666d83ecae04,a1dd15f651a8ecdcd2d5f219b080c80d76297ce4b22138571af451068f40b06d,Arimar Refeiçoes,Combo p/ 2 pessoas ,25,SAO PAULO
File de Frango à Milanesa (Combo) ,008a990766d94b392897882cea65f817db0c1059ec223c533a0b666d83ecae04,a1dd15f651a8ecdcd2d5f219b080c80d76297ce4b22138571af451068f40b06d,Arimar Refeiçoes,Combo p/ 2 pessoas ,25,SAO PAULO
Alcatra e linguiça  toscana marmitex redonda,008ae20ad5df8f9feee5e988e85c7bc6de788070708116f8670dc955d7702f98,8c7f7a35721ca329e0cc87f4af2d40a661733235969a51a93ed42e0386365413,Chapa House Restaurante,Pratos,17.99,SAO PAULO
1/2 chicken +hot roll kani (6und),008b7022e295e2ca32de7338047af72e3e47f9d21207f910a1c970bc55d3ae95,e651c2736d503fd37d409d58b88f45e758c5b4eddce7454c659aa880da50345b,Gendai - Morumbi,Pratos Quentes.,21.9,SAO PAULO
Clássico do Dia - Big Mac™ ,008ba0468b73ff0b75083f55c9a3fbebdab502400c516c53f204534af3699a30,d1dd624567a14ecaff57e4f3d974dcdca9154f2b10e951c532418232c27b0c5b,Mcdonald's - Av. Itaquera,Promoção - Clássico do Dia | Sanduíche Avulso,8.9,SAO PAULO
263 - mesclada iii,008c197799f1569a4be64c42810f0c942485aba7f5c241ef83757fd5c4aef6e9,be94fee6066eac467133df28507ea0fb36ea716af9147dd52ee4df8df99309eb,Pizzas E Esfihas Big Brothers Ii,Esfihas doces,7.5,SAO PAULO
682 - ESFIHA DE BRIGADEIRO,008c28a29a25fdf49b54cc54dc61331983ff0c9d10519beec009d29008a873f2,4dbee63d1932682b4f83f68b4bd20e188ce8f649bc8b75ce9a533592b51c976b,Bela Esfiha,    ESFIHAS DOCES,5,SAO PAULO
Combo Hambúrguer Cheese Salada (Batata média 100g + Refrigerante lata),008d3776b3f0b16cfa2b09082836179aeac50bbed59c709983bd66176846affe,5824a72f243cf7dc8062f1eaa612a7af80714acd2195817bab7d0783bb083e2e,Habib's - Salim,Promoções Especiais,17.9,SAO PAULO
Itubaina 2 litros ,008d3ea02e9e659287609305bdb19d4216115921bd14c3e973c3cae5aa3ed384,28129b07df90744642e61fb201c7335d352ea4edf2f4f0a6bc7ef7c31633743e,Vagão Dog E Fritas,Bebidas,6,SAO PAULO
Aberta especial,008db08a63086f4cbc33648116ec258b646f1bfe4db34de3bb105858ab8c786f,67900fa81410714eb6e71248e82ab2e71dd15320992e41a29adb20fa99f21c27,Saj - Pinheiros,Esfihas & cia.,9,SAO PAULO
Sucos Polpa 500ml,008db40a5b34a08d393144b06029475dddb6883e2a7c66c6ec55ab81403927ff,0bfe06133ddebe845a082cc76f7e8a8c27e0d6738955b3f015edce0e89191605,Quintal Da Morena,Bebidas,6,SAO PAULO
Suco de Fruta Natural ,008de4a12c9a07eb840cc13f33716bb3e41bc95a6834311b7a3deaed515d361e,34f594fe8690463de45a6c3c27dfaf10576ee44094ffab14a4e6aec926d7567d,Américo Kilo,Bebidas ,6,SAO PAULO
Mini donuts de limão,008e8efdc4d224ad0bb936e94888b084d4c53521261102eef4618ead2ac1cb14,e1063c0b1fc2e86f979a7c559a153ef2e82f08175072c7e93fa6c1d7a567242f,Happy Donuts,Mini Donuts,2.5,SAO PAULO
13. x-salada,008e95bf5462ec8ddcd94fe910d467a67aa6c0fe08908907fbaeb5fa1ec2c51e,bf2dd027efc9a60d6c24b8d11e7c44a591b5d058435771f4786e6d922179d4d4,Pizzaria Dinapolli,Sanduíches,11.5,SAO PAULO
Teppanyaki salmão,008eb58e35d8138b33d274c4a8d47b65bc78dea1b955f79754c7b98b999f4c95,f1bc9c30d948b0402f714aa32aa7a4a29a60945a4d3214000bb88a1231152d3d,Shizen Restaurante,Teppanyaki,57.1,SAO PAULO
Arroz Carreteiro,008f0f4b1ea97f58c2e18051d752abea0b04472d341d2f45f20487e2514c2b58,482db85768ca63e8325f35e3301db95af3d29911e8aee066a21c89dd77d6cda7,Family Food,Pratos,18,SAO PAULO
Guioza de legumes,008f51505cf07c4bc9715055e0a9c56206afe572d63d751ebb3f6f0944db93ee,3d44aab6f97e6c52878f9f5a0fb246e937db40d4aa1a5597df71191a4bdebe01,Emporio Do Peixe Pompeia,Pratos quentes e frios,27,SAO PAULO
Marmitex econômico 500 g,008f7366eef704af07c84be3e22af7f7f6b643993a32156a0d8892fa367be87c,c2aa4b8e87f77b976326b57d14c0fc36958fcf4c33357add5751d21796cf4436,Comida Caseira Gordo E Magro,Pratos,13,SAO PAULO
Shimeji 200 gramas,008f8347ee958a3a662fac5441b89aca6ad9a805391e2b091612326ba1a51119,ab4c1db77e4624beb714e1dd3dd93bf77bd5d03ebbbb55025eec07df0c14480f,Umami Temaki  E Sushís,PORÇÕES,24.9,SAO PAULO
File de frango grelhado com fritas,008f877bdc2bef514ed12b260754864d272a43e21a981a4f3d243876a2ccfa7a,6955d6815955abd22b5094e40f6dc27aa9261bc618cdce0e23220aef5bdd1f7b,Mega X Lanches E Almoço,Almoço (Combo),22.5,SAO PAULO
256 - Guarana Antartica 1lt,008fb04463ef3d8e7869f0a45db6492a36d060d865a8888c2c7962e8918c3df2,4be05924a08033eb5bf517cce1648b53520309a1bb22075b4ff1f437b7abc741,Galetus - Boa Viagem,Refrigerantes/águas,8.9,RECIFE
Bolo de Mandioca (fatia),008fec037bccdb2533e4f059154728cb253ebf82ef4f696bcbffe2f0c9bd006b,969921f18b51bb1b2d7c513f96a7beee27d66898269ca58e1506a43a64ac99f1,Da Terra Bolos Caseiros,Bolos fatia,6,SAO PAULO
Edamame,0090141b369e6d97374e0135048b5ef6e8f6981d690b120df7b2bf7c9abd180a,540f0f087b6c50a34bb8a94fd7fd8280e91ecfbb92bc4cd6a0e8de3c8be02cc5,Nakombi Jardim Sul,ENTRADA,21,SAO PAULO
GUARANA LATA,0090d9db8a3d51dbe44fdcdc8df7930c316d924e7130d3bb0aaa053e2c3d9c87,7875e159a68d121cbda55fd7b5d99efe7239ef13c0f982619605e1237525a5cc,Mr. Jones Pizzaria,BEBIDAS ,5,SAO PAULO
60. carne com queijo e berinjela,00916c975974aacf3f1e1c137f4a8484a829775db71d42923a28695e612ecd88,d5bb47709b5ea9d797a937b0a82728a3490c7845551200434bde3f10c0abccff,Pastelaria Ki Delicia,Pastéis de carne,9.2,SAO PAULO
Karmann ghia - charmoso air cooled,0091a46087d54197e4199792cf33a46b63d50f03779e7cd129979d93da37c395,73819885c65b9c6fa75bb750c1ec0e0f2fa230707b493c9adf6aef695574c338,Komburgueria,Hambúrguer,18,SAO PAULO
Pizza em dobro,0091a46087d54197e4199792cf33a46b63d50f03779e7cd129979d93da37c395,e0d0668b4f08a9bf1deb6794ad4a3845dd1497f0726d823788311ca0688dc6fe,Pizzaria Toca Do Onça,Promoções,50,SAO PAULO
Pizza em dobro,0091a46087d54197e4199792cf33a46b63d50f03779e7cd129979d93da37c395,e0d0668b4f08a9bf1deb6794ad4a3845dd1497f0726d823788311ca0688dc6fe,Pizzaria Toca Do Onça,Promoções,53,SAO PAULO
1 pizza de Peperone + Pizza de Frango com Mussarela + Coca Cola 2lts,0091ddb74f343d9e2dfbbb70e0b2fa6cdf44d944a9d6a8a4d0ff350e1e52d6ae,e3fede843ce268a9d107b3527b03397bc18bda42f282299ea0430fb28d1def6d,Pizzaria Rancho Da Pizza,Promoções,47,SAO PAULO
Combo Dance,0091ec77aca91238b1b2ad299e9da78bfc041c42c3e5be0c4f01b7d28d36f099,e0f280bd3059aa7e39fe420f7ff530a81e8f411cb0f601af352fcf9d976e1a6d,The Fifties - Shopping Anália Franco,Kids,18,SAO PAULO
Suco dell valle lata,0091f22c931d10e8e19a62ed951829bcdd2057523cb065bc4ad7c44672526457,a34f969fcc30e4fe46a4409e3854805e6348c70b1048b309c4bd03e0aa90534e,Pizzaria Duon Valle,Bebidas,6,SAO PAULO
Espeto de Kafta com Fritas e Vinagrete,00924890535e1e6c26bdddfa50f93a52cf3164bccf420ece216b11b66f9b5e4b,e71ff69768ddee38c104deb53667b72b24c0ebc9c83818953fb0da2bfa84cd8c,Habib's - Yervant,Especialidades Árabes,14.9,SAO PAULO
Refrigerante 600 ml,00924db51e79e578af50c3d5f21e9604cefa8a36844864b1db4aa01f6dff4d51,1fecc3c854465ac058aa8dfdb0f85d4b42e08b3bdd19f1b2cf21e029d7c47829,Pizzaria Americana,Bebidas,6.5,SAO PAULO
Cheese-salada tradicional,0092667614b5a82d7325a502c58e0289e13d8cc7ba83e366f12a6f4fe10f7a68,ee06485245e4d31d74a111cd29bd8e91a09847547bd68bb0ec77d1919e54e4c2,Hida´s Burger,Burgers (combos ou avulsos),19.5,SAO PAULO
Escarola,0092bf620d5d3199a761228a6f406933f22b717ef3daf5fbfb66393bff5347ed,c9823a1e4f5de2439e311166cdca08beee10f7dfb87d480f5d22affb985d9782,Pizzaria Papitto,Promoção de Pizzas,20,SAO PAULO
Esfiha Catupiry,0093938dfb4c3d0a6a673c79d928fdc644e4678319334f8b9fe4eb36787b3411,fb271d6b0243f78b18cfc0402e04a60b47396a8e99fb168c44f4665a24c057cd,Esfihas Turin,Esfihas,3.5,SAO PAULO
CALABRESA,0093a9c3f085032b427d5a47423b991950da6d9fafa907fe1b548f4dc1712d7e,4b6b4a91a298a53cb9f57297fdd7bafa71bd3cedc4673383e6c877e9e7103909,Pizzaria Don Papito,Esfihas,1,SAO PAULO
CALABRESA,0093a9c3f085032b427d5a47423b991950da6d9fafa907fe1b548f4dc1712d7e,4b6b4a91a298a53cb9f57297fdd7bafa71bd3cedc4673383e6c877e9e7103909,Pizzaria Don Papito,Esfihas,2,SAO PAULO
26. Peixe com Fritas ou Legumes,0093fd5c5abe4db8930ece841f2f7d8b973578a9c952c438c0b818fc9240e847,c2f9f405f91f81dc17c2b3c4d431c5bb778bcf7cc4488dfd5ec6e120039e82f1,Marmitex Delivery,Pratos Todos os Dias (segunda à sexta),19.99,SAO PAULO
Doces individuais,00947ca60f995892a97ad630e3603290c7e608c5afb059ede0580d8f99b8f733,8ed9e5452c8d125a4c8056609c0d237087fcbd56ca9bb8ef7aac6a5d0451737d,Julietto Festa - Boa Viagem,Doces,2.15,RECIFE
Sannata II,009489081329ca4155b342bb2b2b5c0c546ead306e6ddfeed53fd4b4e6eeaf6b,cdc1830bae47614e1cfa6c82b1925391e240130ecbbad53707f1e913d93a4b35,Esfiharia Don Fiori,SALGADAS,6,SAO PAULO
047 - Jo ebi,0094b13db6bb124f6b3b9498868c375a2c969dc765fbcd82b4bcfa2e61132b67,5ee3c2a015ef437341bd5759e5b33c9a0fe7cc4b2a3c822ca97e56abfec5a792,Megumi Temakeria,Jojoy ,6.9,RECIFE
Açaí barca 2l,0095059468a52022d98c0b8f73f48d28e74e1f88c083107e49c0b6e1b74c14f7,8b0f7544185cd0f735f657ddd37c27e8264cf841c34405da3037a21116c3af81,La Fruta Açaí E Crepes,Açaí ,74.9,SAO PAULO
Frango ou primo canto - para 3 a 4 pessoas,00952aba3f8f3e49a6c4238c74d7b45b4a125d92adb1ba8858316d59de4e5bdd,70dbc3d6dde62f35db23cec16b5c405f4132521375abdefd92ee7c66855b9752,Galeteria Cristofoli,Pratos,86.9,PORTO ALEGRE
AÇAÍ BATIDO COM ( BANANA )      TAMANHO 500ml,0095530edbfc7f2631c708a1fac64689f58f6fbac9b3926cef4105c019873752,127706cca75f3c6d5fef4b1da6e442e84e6d5bc5533fe3346574303b5a7f23e6,Prime Açai Delivery,AÇAÍ BATIDO COM FRUTA,29.9,SAO PAULO
Temaki Salmão Grelhado,0095b507dc089745aa9acb2fc3e246ea8c4a935b0153417eb6eddef5f0bca4fa,b9961810f668a16463c055216c9d8f82e58b6e562035f45d3642dc7ead1bfd50,Dukeo Temakeria E Restaurante,Temakis ,19.5,SAO PAULO
SUFLAIR,0095bdecc0fdfe07c8ab1b6376c81025ce995aaa2ac2e7ecf7f5603a7a47d87c,d5bb47709b5ea9d797a937b0a82728a3490c7845551200434bde3f10c0abccff,Pastelaria Ki Delicia,Doces ( Novidades Diversos Tipos ),4,SAO PAULO
picanha na brasa,0095d86af31d32744b2b8e976bd4497018d2af3f0677efbb1bb4110e0dfd317c,e6ca3c9fedf39282090d16ce056aa7ddf5e1e5d567123c55d86ce5eaee16265f,Imperador Grill & Espeto,Pratos do dia,27,SAO PAULO
001 - Tempurá de Camarão ,0095e2b9642b1a59311263798615a7c2b615331238196fe9c3944f6ffb36eba2,0dacaa6a8307f31ee74b2b54ab41e240051fa074c3f85aba0d5abf45b73bd8ee,Hachiro,Para Beliscar / (Acompanha dois molhos),19.9,RECIFE
Brownie,009707e2609614502f2b3e191e36a880907eab4329c1e01f7cf20f2269fda87d,ff15cdfb360ad8cd3a2f646274d687d35093b2bea7ccb93c136fbb5ab4a1542e,Le Fish,Sobremesas,18.9,SAO PAULO
Cheese Dog,00976f39690ff4c49d0d058aaa0fe741c76ed9a924a9fc04de893bce367babc8,ad0866260d8e0d6e421db7fa9080fd0d53ea73a6b163b8b41cc296aae39bcd6a,The Fifties - Shopping Pátio Paulista,Hot dogs,21.99,SAO PAULO
CAPITÃ MARVEL ,009770f642299a655c5e8b7bba4bde9649def83881897f9652958902994180ec,1b54d39115e9995e37e1be469b0bf0a2ec962978784c64802410c97c96892e81,Pizzaria & Esfiharia Nova York,"New,s burguer,s super heroes e vilões",26,SAO PAULO
Yummy dog,009787f48652e8b6e233d193676180b0f41536fe0539697c37b092b358884eb6,6763a634b4c49da63c8c69493641d36951f77be07aa4ec1ce0bb33d69459d4bd,Vic's Best Food,Best hot dogs,10.5,RECIFE
X CALABRESA ,0097ebc769182782f349d5d3c6ca8a5c7745ec23caa31c9fe6f1ef31d6eac265,4c7e61a496e13c325731698e4ebe67eafc8781e6bb950b7e5bc3d123f6eb57f3,Lanches Kobayashi,Lanches,8,SAO PAULO
Chicken McNuggets peito de frango 4 unidades,0097f3776860e19ecd5e3409dd1edd1c5d91a9c47311cd65070f89e34428c6d3,4f13ea94911b14fced387ade0cc5de41e54e6dbc34e7a97e3fd6e2c2aaf9499c,Mcdonald's - Robert Kennedy,Acompanhamentos,9.5,SAO PAULO
Sopinha de Legumes,0097f4100a7ec73e9a92fc48dec585633d1441e5901309845130945760c204ba,d874928bdd03a505594231e18ecdd5b025212aae8b319d24d4d108d1815407b9,Eco Mercato- Saudável E Natural,Entradas,8,SAO PAULO
Passaport,009817cae3b7502d8dab40cb90b2f888457d83333b73703d24b13648c51f2863,4e960a2b6fc971556c8c97a6338fcc4c296a02c09ad13e04b0fcc99eee079b67,Açai E Pizzaria Panamby / Rede Sabores,Bebidas,90.9,SAO PAULO
Pancho Tradicional,0098c9d186731ecb892ec3698158c834d78cf98183a3a1fd6595c1f7bc00ceb4,0eb29a38ff0498efbd7f38627bd3bd5bed8dddbca0655a01371bbd876a94b7fc,Empório Uruguay,Panchos,8,PORTO ALEGRE
Pancho Tradicional,0098c9d186731ecb892ec3698158c834d78cf98183a3a1fd6595c1f7bc00ceb4,0eb29a38ff0498efbd7f38627bd3bd5bed8dddbca0655a01371bbd876a94b7fc,Empório Uruguay,Panchos,10,PORTO ALEGRE
Chicken McNuggets peito de frango 10 unidades,0098e0b27ce5b2ef70217a5d581cc69d372c797367c151a0980a8163b3435721,5c97a2a8a5a445e0fc41f57ebbc486848e128fb6886a93a8cd2923205f98a8f7,Mcdonald's - Pari,Acompanhamentos,15.9,SAO PAULO
066 - Jhow de salmão (10 unidades),0098ebf9dfed29a279c0f093d0680ff6850ec0a2d6185fb5d047b55f1310b22b,805c322571e9bcb3c6ca7b782692abb783c2c4a3917a4149c69d78400c613e97,Haruk Sushi,Sushi jhow,28,SAO PAULO
PICANHA  I - EXECUTIVO,0099129c8c9ac0e99db4e6b9569a3be6864329c2d3d694e1be3869b661fede4f,37817eef8f18214b8b5f5a1eb17127a63a09896d00e5929550f3c7ed4e9b0b3e,Phoenix Rotisseria E Pizzaria,PICANHA NA BRASA,46,SAO PAULO
Yakissoba Frutos do Mar Grande GG,00995fc1aaad97a9e67b126fc5b7536ccdfb2164620f8cf03cd4eee076385223,24d01e5be102dd58130531ddaa5357b56e16b57857eae0001600c97e7f616cbf,Ka Sushi Premium,Yakisoba,54.9,SAO PAULO
Boi manhoso (meio prato),0099935096b3606ec60210bbaee603afca33bc60262e0f98de170892d4f8fa89,3adf21a36215c480613bb868a6da7d282519112344e7d33fdc0413452967e045,O Mineiro Prime,BOVINO (SERVE BEM DE 2 A 3 PESSOAS,71.34,SAO PAULO
Batata Frita Média,0099d41ab47ab937df996804e864534565da402bac7d4ac85ea2d12f34700b51,aa61bc2872485c9ce7369ebaaf0210f29e22378a059ce88ca1eb202394bbd260,Churrascaria De Hamburguer,Porções,13,SAO PAULO
QUICHE INTEGRAL DE ALHO PORO,0099e82a74a844d48a1f799e6f807eff7c5f288a540876802a870956c915e926,cd919c38d17bc2d7507d612bbbde94db38ab7ce4ac78861372b1f51f451a1589,Cafe Des Fleurs,QUICHE CREMOSA ARTESANAL,25.85,SAO PAULO
MORANGO,009a0a6f72a1bca898520630cfe1d7ff363f7bec243b66361426235ddfd53293,af7f627253d4ec8071d0d5a62e2c0faae39ddfb10c6206c7ddb50f2b69a4bb39,Sauce Burger,Milkshakes,13,SAO PAULO
Água garrafa,009a2b83fe584c1a3857bc239297cc3188633e20a921c5fe0dc07f2d5855100a,db77de24a9ca14256232f1453751a52f0e38bf54e4ca37ea5fae2524074970d2,Mcdonald's - Domingos De Moraes,Bebidas,5.5,SAO PAULO
Alcatra à moda,009a34e78fb6f272ee7183b34c41b96bb6f9c5d2654d91651bf929dec4fcb5f8,4035a4395dfa5f642de73cc17544d48fbd13519520bf4eb7d457da2aecbf3e68,Barello Burger - Vila Leopoldina,Promoções,27.9,SAO PAULO
Filé de Merluza,009a93657b25e32064881e01627d73e81f9d4dc7b76761e55d2eb50907fb3b42,ae15bf3298f1e200916c2736de99895f063373afa7bd3a75f56df5455e61690a,Casa De Pedra,Pratos,16,SAO PAULO
Filé de Merluza,009a93657b25e32064881e01627d73e81f9d4dc7b76761e55d2eb50907fb3b42,ae15bf3298f1e200916c2736de99895f063373afa7bd3a75f56df5455e61690a,Casa De Pedra,Pratos,15,SAO PAULO
Picanha na pedra,009acccedc445018956b84e52a38a8ef80e6ef84bfed57f914a70efbb0c737ac,6e8aa3e26860c6ef9933a9f64507b1e417ca873b99812a444c9857486f4458e2,Tradição Mineira 2,Pratos para 2 pessoas ( Bovinos ),129.9,SAO PAULO
Niguiri de Skin - 10 unidades,009af06f5eec3b827289f58c584d72e3bf24ce9fc6339cdc87d48249d1ea7651,c13bd4280bcf1076bb0c29250e67781fcc4ed73200ea419a12c8269e1c4afec1,Tarpon Sushi Bar,Niguiris,43.9,SAO PAULO
Molho,009afab93c43a30fcf2bf2ef0096ae2fc5af6dc3286797411b4607adda9bc22b,529f80af76c1fa8cec44e606f73f3747d3fe10253198b928b71dd2fc6be41859,Domino's Pizza - Itaim,Extra para pizza,3,SAO PAULO
"Pizza de  portuguesa ganhe um guarana de 1,5 litros",009b6c30642372ef89c452cef5693d9b6e095eeaba4da38140e7807ec447b806,af09ad1c33c003b9c9c31ab3c596ce735e1ceba2517104c18024c7b26fc66f6a,Jalisco Esfiharia,Promoçao,38,SAO PAULO
1/2 frango á passarinho,009bd5e11b8819da872a39af1753bedf5dd76916577fa1c8f8f1f21a8cef1245,847d65d52b221975015d1bf871a4ca69082fc6d5245f1aa09c261f4d2ecff65a,Strike Grill,Frango na brasa,21.13,SAO PAULO
TOP DANTAS,009c0ac531c7b5038da45aa4bcd300dd3ab252945630ddd844260a3b5fcdbe46,32f5e766f3f6b3a73ff784d1b4fd5b59c41290a39681d0c7db1ecb2a2fd31623,Mc Dantas Lanches Hamburgueria,HOT DOG DANTAS,14,SAO PAULO
Bob Salada,009c44d3d4e37952630cb6869b7f0bb0ce9d56893ad2a4d57ce2d23e3f2fc490,d761c13ddcbfd3b3b497d7f4191334e8ef4e3cd00b7a326b3d73dead15bf412c,Bob Burguer,Promoção do dia ,8.99,SAO PAULO
Bob Salada,009c44d3d4e37952630cb6869b7f0bb0ce9d56893ad2a4d57ce2d23e3f2fc490,d761c13ddcbfd3b3b497d7f4191334e8ef4e3cd00b7a326b3d73dead15bf412c,Bob Burguer,Promoção do dia ,4.5,SAO PAULO
"Coca-Cola Zero - Garrafa 1,5l",009c80c7b455b2965eff497c3bd7c5def300a93d2fa3aad4aa2177465fc88729,c6326f33759b6c3bf7cd34ab7e3ceae30fd28ba03f3225be05d9b2168f29a5e8,Empanadas Zarpada - Campo Belo,BEBIDAS,10.25,SAO PAULO
Smoothies,009c99f9406cb76050b3027dd4e11b6c9b55d37de6a4c94cdd3886a1cd45bc32,1f372cb69d31c3f50b29b5c115d0c877cf8dba1aa4899fef5b77185a666499f2,Bella Paulista Casa De Pães,Sobremesas ,25,SAO PAULO
Combo: 1 pizza de Camarão Grande+ 1 pizza de Picanha Grande+ 1 Vinho Pérgola Suave 1 L,009ca0708334e73b512d6a3e2a1c9a347defa45ffeb7dd920211293d2e859f1f,1e849d89b1ca233f077498f72cf382b782e898f3b6ca1ecb759a426d13bd9e18,La Casa Da Pizza,Promoção,189.9,SAO PAULO
Refrigerantes 2l,009cf20ba1ff76d80541b20480b554b9db82a87f5925735894a51e582f96f8d8,725726ed963706aecd9616239adf7d43f4eaaf31e909c50fbf0176563c8484e5,Marcu's Pizzaria,Bebidas,10,SAO PAULO
Pavê de Nozes,009d1a340997d4d74699c5b6f0bbbe214a7dbd22750e72e914443870a7a7b5a0,e0dfc47817823cd72bbf27c6fc46bd3f12fa3102d5fe139ee3a33c732a347096,Amor Aos Pedaços - Perdizes,TORTAS E PAVÊS EM FATIA,13.9,SAO PAULO
Broto de chocolate,009d1edbee02b6bb3c3948ff02dc5179585dc7b87aed5146e4b649858e7d92aa,adb1e00d26595b334d460c3cd3913844c6224c329bc6e8dbf14445e48e772012,Hamburgueria Usa,Pizza doces,30,SAO PAULO
37 - esfiha toscana com catupiry,009d3d4a582def58757d3c3fff03dd95b149c7e292ebb162cf1391bfd8a1020f,8cf96c23c0d2dc75c095ea9ad30347d0d70cd54f7defda8a73f317548997d3da,Pizzaria E Esfiharia La Marques,Esfihas salgadas,4.25,SAO PAULO
Refrigerantes guaraná antártica  2 litros,009d5f429fd79be2ea12690bfe77e24a491b713acf14c7b6c7f5f990c36c7423,85c92b900a270510b1a4f94201403c2a1b10b4c8ddac847fa5a8786bd0db26fd,Fahir Esfiharia E Pizzaria,Bebidas,11,SAO PAULO
Fritas ,009dd7027f47b6b09807eaefd47b1cbd04a94b6f70b6b1e17369a32ffc8e0a97,c2aa4b8e87f77b976326b57d14c0fc36958fcf4c33357add5751d21796cf4436,Comida Caseira Gordo E Magro,Porções,7,SAO PAULO
COMBO 30 CARIOCAS VARIADOS,009e277a9fc637e2106af07c0247b945f74b2da2a9ac82d356d4ec62f2325ad6,3735a3544a8d3348f531ae1f097ca3f5d609242ba0d1e149597c3e0e2fd03c9d,Sei Temakeria Lounge,Promoções,39.9,RECIFE
Sábado- Feijioada Media,009e9c0ef0728519bcdf2e3f36a4ae2cce17a534f805ae80b734a58500840919,eb38efb2d8d7a40e777ed5344f0236d0c220b211be43028de3ea5d6fd6173fbd,Quintal Restaurante E Lanchonete,Pratos do Dia,40,SAO PAULO
Wasabi,009eb278d2089b7dba4b7442ce3c761d2b293e9c80ef08a8eac6415059832d69,6fca5e510fca47f1bbb5ed42257fa42a8ecd268d2f6f9c72c3454008914c5cd0,Maki Sushi,Complementos,6.9,SAO PAULO
Sopa de mulher parida,009ef75564bbdd26836cd779435e95c0ad0aced449afe8475c4ddb1b7bd7c50a,64ac852c06953d4ace0f9a9235ca34f2561a976c75481cb885d20d22e412f4e2,O Mineiro,Festival de caldo e sopas,38.9,SAO PAULO
Parmigiana de Bife ,009f3046165e7be43a3cc2c8c173bf67fbf8453ea8727e486bdeb6a1159193cd,02282e35333a02fe7aac266c66980c3006015241c586a7bdfd007ba7c278e8d7,G & M Lanchonete,Pratos do dia ,25,SAO PAULO
Parmigiana de Bife (serve bem 2 pessoas),009f3046165e7be43a3cc2c8c173bf67fbf8453ea8727e486bdeb6a1159193cd,02282e35333a02fe7aac266c66980c3006015241c586a7bdfd007ba7c278e8d7,G & M Lanchonete,Pratos do dia ,25,SAO PAULO
Guaraná Antartica zero 2L,009f31057bc96f177b46ee7c29e4468700127e7b162346377d171a024d06450a,638e0a3eba847c906361235f14af6e67df20fcc2dd1e1b80d43e034503d219e7,Pizza Prime - Vila Leopoldina,Bebidas\t,11.5,SAO PAULO
PROMOÇÃO FRANGO GRELHADO,00a0ee8d3efea5403b8cac545abd3ec9e41e5845011f65a8bac83f13c8868e7c,4dda59e408d21807be7f8c975ae296e0d7acb418868b6da7d5a99314a311bc5e,Hora Certa Marmitex,PSIU! PROMOÇÃO  PRATOS SIMPLES,16,SAO PAULO
PROMOÇÃO FRANGO GRELHADO,00a0ee8d3efea5403b8cac545abd3ec9e41e5845011f65a8bac83f13c8868e7c,4dda59e408d21807be7f8c975ae296e0d7acb418868b6da7d5a99314a311bc5e,Hora Certa Marmitex,PSIU! PROMOÇÃO  PRATOS SIMPLES,16.9,SAO PAULO
Molho Chicken McNuggets Barbecue,00a107a3498fa2a817681cafee6a51a17de37705bf976dbe4c9f03f122577cd3,250c3496d35b2064271c4d333260a2fa37ec6422e15165531eab6b6b7db35fbd,Mcdonald's - Agua Branca,Acompanhamentos,2,SAO PAULO
"Pizza nordestina Carne seca com mussarela + borda de catupiry + um Schweppes de 1,5 de brinde",00a1656934e53c7883a1b00bad0b0c23de235f8130df69fbbc530fd5e1ebcade,6f2eadf5c18a46a3a05ac470dc6a30f4b7d78afe153a1e643041fb559f91d5be,Gil Pizza,Promoção ,41.99,SAO PAULO
Eisenbahn weizenbier long neck,00a18259ea8b07acb52f690705d8242296adf4a7cd989ef5adaf20a95909964d,78ddc53df0b578ebde8cc44b9e316dff65b43a1da087a51c49f7509b927b73b2,Nova Bella - Vila Medeiros,Bebidas,8.9,SAO PAULO
109 - Pastel de Dois Queijo,00a19f25387a64f96de1c5eaeb04adab23801f2e006050948e5bfceeb2ff777f,73f83f2667aea52b5535a7cf3883f748de1c862144947ccf47fc4dc59abe868f,Rei Do Pastel,Pastéis Salgados,8.5,SAO PAULO
